request-id,request-method,request-path,request-query,request-payload,response-status,response-content-type,response-payload,response-oops,pre-handle-timestamp,post-handle-timestamp,"after-completion-timestamp"
"b185415b-a3a9-4d74-b929-1bd0e38658ce",GET,/,"debug=true&locale=en",,302,,,,1359562085112100,1359562187389400,1359562197539800
"65c1a799-92ef-4637-b8fd-235186f0dc9c",GET,/any/system/welcome,,,200,text/html;charset=utf-8,service=492,,1359562227988500,1359562242455200,1359567959855100
"459746dd-dacf-4cda-8f52-5e5387c1292a",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,1359568116271300,1359568126499700,1359568127902100
"b66aff40-c0e3-4f49-8036-423be0234cd9",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,1359568139903600,1359568143025500,1359568144250000
"d2982856-5dba-4e30-bd86-f5c51389324a",GET,"/libraries/datatables/1.10.18/css/datatables.min.css",,,200,text/css,,,1359568152864400,1359568155718400,1359568156930100
"e947d812-6de7-4a6b-a155-47f8d7d7316f",GET,"/libraries/jquery/3.3.1/js/jquery.min.js",,,200,application/javascript,,,1359568164226800,1359568167420200,1359568168736700
"2f40eedd-c2db-4746-a8b0-6277b8cff6ad",GET,"/libraries/popper.js/1.14.4/js/popper.min.js",,,200,application/javascript,,,1359568175701900,1359568178662700,1359568180001500
"59a526e4-5e56-4eba-bb60-74bf929521b6",GET,"/libraries/bootstrap/4.1.3/js/bootstrap.min.js",,,200,application/javascript,,,1359568187671000,1359568190558200,1359568191700700
"b07dee00-405a-4bc3-906a-e8e1f2de1f87",GET,"/libraries/chart.js/2.7.2/js/chart.bundle.min.js",,,200,application/javascript,,,1359568198820600,1359568201765200,1359568202889600
"f2708179-88ad-4fd7-913b-e29b2db6eab5",GET,"/libraries/areyousure/1.9.0/js/areyousure.min.js",,,200,application/javascript,,,1359568210316700,1359568213394800,1359568214595700
"b6c684c0-69b9-41ea-8dfb-a7156cd28dc2",GET,"/libraries/datatables/1.10.18/js/jquery.datatables.min.js",,,200,application/javascript,,,1359568220660900,1359568223496700,1359568224508800
"7743828c-0928-456d-81b4-ddbeae527316",GET,"/libraries/datatables/1.10.18/js/datatables.min.js",,,200,application/javascript,,,1359568233030200,1359568236058200,1359568237123100
"453c0547-375c-4225-9996-bdd69c6b1f25",GET,"/libraries/acme/css/acme.css",,,200,text/css,,,1359568246662000,1359568249299200,1359568250253600
"36bdf9bf-dca7-42e3-b952-6af5a3a49d91",GET,"/libraries/acme/js/acme.js",,,200,application/javascript,,,1359568255983200,1359568258566400,1359568259537900
"a841c7a2-400a-4653-87ef-fd9332377481",GET,/images/banner.png,,,200,image/png,,,1359568265367100,1359568268612800,1359568269533800
"40fb6075-6444-4022-b2fb-efb517fe9df6",GET,/images/logo.png,,,200,image/png,,,1359568287390500,1359568290109100,1359568291042600
"6eb4a308-dbb2-4aef-ad4e-238da24703d9",GET,"/libraries/fontawesome/5.2.0/webfonts/fa-solid-900.woff2",,,200,application/font-woff2,,,1359568297948800,1359568300538300,1359568301406700
"6cad9b1b-3df5-4bab-a587-0ee4f5901644",GET,"/libraries/fontawesome/5.2.0/webfonts/fa-brands-400.woff2",,,200,application/font-woff2,,,1359568311967500,1359568314556900,1359568315446600
"56612827-aa2a-4f6f-8e7b-e6c8a95f1f11",GET,/images/favicon.ico,,,200,image/x-icon,,,1359568325284400,1359568339608000,1359568340506400
"22b02401-6936-410d-9490-5ab7e4cdbb3c",GET,"/anonymous/system/sign-in",,,200,text/html;charset=utf-8,"password=&remember=false&service=494&username=",,1359568347214800,1359568354485400,1359571081547600
